date,open,high,low,close,volume
3/1/2013,15.643,15.649,15.356,15.374,552447168
3/4/2013,15.279,15.293,14.964,15.002,582737596
3/5/2013,15.053,15.543,15.027,15.398,638428168
3/6/2013,15.518,15.545,15.158,15.202,460249076
3/7/2013,15.161,15.429,15.038,15.378,468471304
3/8/2013,15.35,15.551,15.308,15.419,391595932
3/11/2013,15.348,15.679,15.184,15.638,474233424
3/12/2013,15.557,15.674,15.27,15.301,465909892
3/13/2013,15.302,15.518,15.191,15.298,405816768
3/14/2013,15.458,15.523,15.373,15.446,303874984
3/15/2013,15.64,15.865,15.616,15.845,643959148
3/18/2013,15.766,16.338,15.757,16.276,606196360
3/19/2013,16.411,16.463,16.018,16.232,526773240
3/20/2013,16.336,16.344,16.057,16.146,308660632
3/21/2013,16.079,16.356,16.075,16.169,383253640
3/22/2013,16.235,16.504,16.183,16.497,395104444
3/25/2013,16.596,16.784,16.492,16.556,501133752
3/26/2013,16.623,16.637,16.447,16.469,294293692
3/27/2013,16.302,16.314,16.098,16.146,331409176
3/28/2013,16.065,16.136,15.772,15.809,442982344
4/1/2013,15.782,15.846,15.276,15.318,389729956
4/2/2013,15.271,15.648,15.229,15.35,529772936
4/3/2013,15.406,15.617,15.368,15.428,363214908
4/4/2013,15.491,15.536,15.188,15.276,358658552
4/5/2013,15.161,15.177,14.989,15.114,383693912
4/8/2013,15.173,15.268,15.089,15.222,301058968
4/9/2013,15.227,15.304,15.098,15.249,306752460
4/10/2013,15.289,15.609,15.215,15.56,375926992
4/11/2013,15.49,15.643,15.4,15.512,328616372
4/12/2013,15.505,15.505,15.325,15.35,238725116
4/15/2013,15.25,15.282,14.984,14.995,317518824
4/16/2013,15.056,15.236,15.02,15.223,305771032
4/17/2013,15.01,15.021,14.218,14.386,945053844
4/18/2013,14.464,14.493,13.919,14.002,666296652
4/19/2013,13.856,14.271,13.754,13.948,609272804
4/22/2013,14.023,14.364,13.974,14.238,429917768
4/23/2013,14.428,14.585,14.243,14.505,664235796
4/24/2013,14.055,14.83,14.018,14.481,969833564
4/25/2013,14.687,14.784,14.536,14.585,384836620
4/26/2013,14.636,14.956,14.58,14.9,764275960
4/29/2013,15.016,15.486,15,15.361,640324440
4/30/2013,15.539,15.902,15.431,15.814,691537448
5/1/2013,15.874,15.89,15.514,15.689,507154788
5/2/2013,15.778,16.021,15.737,15.911,422024736
5/3/2013,16.118,16.187,16.041,16.071,361527152
5/6/2013,16.275,16.507,16.225,16.454,496640648
5/7/2013,16.606,16.634,16.204,16.381,483752304
5/8/2013,16.394,16.62,16.279,16.566,472596152
5/9/2013,16.422,16.536,16.271,16.313,398749904
5/10/2013,16.356,16.418,16.089,16.178,334849928
5/13/2013,16.125,16.354,16.125,16.241,317109240
5/14/2013,16.209,16.257,15.791,15.852,447115760
5/15/2013,15.684,15.75,15.084,15.316,741612340
5/16/2013,15.116,15.638,14.961,15.521,603465912
5/17/2013,15.68,15.718,15.393,15.474,428079316
5/20/2013,15.425,15.921,15.361,15.819,451575936
5/21/2013,15.648,15.91,15.507,15.702,456296960
5/22/2013,15.859,16.012,15.651,15.763,443259432
5/23/2013,15.57,15.934,15.564,15.791,353380944
5/24/2013,15.745,15.916,15.727,15.898,276426556
5/28/2013,16.068,16.111,15.745,15.766,386144752
5/29/2013,15.714,15.982,15.693,15.891,330782676
5/30/2013,15.916,16.232,15.875,16.128,353714592
